Review,Rating,Date,Translated_Review
"Pilih lokasi saja tidak bisa, aplikasi tidak layak pakai",1,2024-10-24 15:24:03,"Can't even select location, the application is not suitable for use"
Sy punya ga bisa kebuka..udh isi data tau tau keluar sendiri dr aplikasi..,1,2024-10-24 11:55:17,I can't open it... I've already filled in the data and it will exit the application itself...
"ga ada pusat bantuan, suru ke admin buat lanjutin tp ga ada pilihan pusat bantuan buat terhubung ke admin, udah bayar tp ga uptodate Pdhal da sisa waktu pembayaran ini, gmna dong.",2,2024-10-24 06:26:01,"There is no help center, asked the admin to continue but there is no help center option to connect to the admin, I have paid but it is not up to date even though there is time left for this payment, what should I do?"
app ny.. tolong di perbaiki lg. soal ny sering keluar atau data tidak valit padahal ud bener. buat teman2 kalo pas milih tagal kalo ad kotak warna hijau yg ad di tangal baru kita bisa pilih tangal ny. soal ny pendaftaran di buka cuma 1 bulan sekali itupun terbatas.. ok semoga membantu.,2,2024-10-24 06:23:13,"app.. please fix it again. the problem is that it often exits or the data is invalid even though it is correct. for friends, when choosing a date, if there is a green box on the date, then we can choose the date. the problem is that registration is only opened once a month and even then it is limited.. ok, hope it helps."
Kode verifikasi akun nya sangat lambat di kirim kan membosan kan untuk berurusan dengan negara sendiri,1,2024-10-24 05:53:59,"The account verification code is very slow to be sent, it's boring to deal with your own country."
The best and succes M Paspor,5,2024-10-24 05:10:27,The best and succes M Paspor
"Aplikasi sering erorr selalu muncul tulisan nomor otp tidak valid, macam2lah , pengguna tidak ditemukan dan lain2. Kek kon-",1,2024-10-24 04:00:11,"The application often errors, always showing the message invalid OTP number, etc., user not found, etc. Like kon-"
Aplikasi ga bisa login,1,2024-10-24 03:49:14,Application can't login
Setelah ada pembaharuan kok login nya makin susah,1,2024-10-24 03:15:41,"After the update, why is it getting harder to log in?"
"CSnya gak ada ramahnya sama sekali, bagusan chat sama bot, orang tanya kejelasan malah gak dikasih tau.",1,2024-10-24 03:04:42,"The CS is not friendly at all, it's better to chat with a bot, people ask for clarification but they don't get any information."
"Mana ini tanggal nya? Sdh upload segala macam, ini itu tp tdk bs. Tolong diperbaiki sistemnya",2,2024-10-24 02:54:45,"Where is the date? I've uploaded all sorts of things, this and that but it doesn't work. Please fix the system."
Parah ini kuotanya masa udah pada 0... Masa sebuln full sudah penuh... Jadi menyulitkn kalo begini 😡😡😡😡,1,2024-10-24 00:09:42,"This is too bad, the quota is already at 0... It's already full after a whole month... It's going to be difficult like this 😡😡😡😡"
"Aplikasinya selalu keluar saat sudah email dan password dimasukkan, sudah diperbaharui tetap gak ngaruh",1,2024-10-23 14:26:44,"The application always exits when the email and password have been entered, even though it has been updated it still has no effect."
Berguna,5,2024-10-23 13:19:36,Useful
"Banyak Bug, lelah isi dan upload data tiba2 ulang dr awal...dan itu berulang kali",1,2024-10-23 11:25:01,"Lots of bugs, tired of filling in and uploading data suddenly repeating from the beginning...and that happens repeatedly"
Baik,5,2024-10-23 10:30:04,Good
apa nie apk tak bisa dgunakan,1,2024-10-23 09:51:53,what is this apk can't be used
Ww see w yg,3,2024-10-23 09:31:32,Ww see w yg
Ga bisa pilih tanggal pendaftaran. Hadehhh,1,2024-10-23 05:28:55,Can't choose the registration date. Oh my
"Kesel banget gua sama apk ini, tibanya dikantor ga dipisahkan yang passport biasa dengan elektronik. Sudah itu banyak kali tanya ini itu ujung2 nya passport di tolak uang ga dibalikin, semoga balasan yang kau dapatkan setelah ngambil uang orang tapi ga dibalikin kalo ditolak😡",1,2024-10-23 05:25:57,"I'm really annoyed with this app, when I arrived at the office, the regular passport and the electronic passport were not separated. After asking this and that many times, the passport was rejected and the money was not returned, hopefully this is the answer you get after taking someone's money but not returning it if rejected 😡"
"Gak bisa kepakek aplikasinya, mau log in tiba-tiba keluar sendiri dari aplikasi, gimana ini nasibnya orang yang mau buat passport",1,2024-10-23 04:41:49,"I can't use the application, I want to log in but suddenly it exits the application by itself, what will happen to people who want to make a passport?"
"Setiap mau upload foto / gambar dokumen selalu force close, sehingga harus mengulang pengisian data di form dari awal.. mohon di perbaiki",1,2024-10-23 01:21:55,"Every time I want to upload a photo/document image, it always force closes, so I have to repeat filling in the data in the form from the beginning. Please fix this."
Kenapa force closed terus ketika mau upload ktp???,1,2024-10-23 01:19:30,Why does it keep force closing when I want to upload my ID card???
aplikasi yg sangat bermanfaat,5,2024-10-22 20:47:54,very useful application
Agak ribet,5,2024-10-22 14:18:17,A bit complicated
Mantapp,5,2024-10-22 13:45:16,Nice
"kalian nyuruh daftar online katanya biar mudah nyata terbalik , 3 bulan kedepan gabisa klik utk wawancara , benerin dulu sistem nya",1,2024-10-22 13:28:38,"You guys told me to register online, they said it would be easier, but in reality it's the other way around, I can't click for an interview in the next 3 months, fix the system first"
Aplikasi gak bisa d gunakan,1,2024-10-22 13:08:54,The application cannot be used
"Pertama kali pakai lancar, login berikutnya ngelag di fitur keamanan. Sampai sekarang ga bisa login lagi, mhn diperhatikan aplikasinya agar berjln lancar.",2,2024-10-22 12:34:39,"The first time I used it smoothly, the next login lags in the security feature. Until now I can't log in again, please pay attention to the application so that it runs smoothly."
"Alhamdulillah pelayanannya gercep, sehingga msh bisa masuk kerja lagi.mks",5,2024-10-22 12:06:10,"Thank God the service was fast, so I can still go back to work. Thank you."
"Aplikasi parah, tidak jelas, payah, sudah capek-capek upload data ini itu, giliran mau janjian datang ke kantor imigrasi... eh... ternyata dari jadwalnya penuh. Dan dapat informasi dari teman ternyata walaupun kuota penuh tapi bisa diusahakam dapat paspor melalui ""orang dalam"" dengan biaya 1.5 - 1.9 jt.... duhhhh Ternyata bukan membuat mudah, justru membuat lebih sulit dan yg paling eneg adalah biaya yg dikeluarkan sungguh diluar dugaan. Ini tdk beda dengan aplikasi SIM online... sulit n payah",1,2024-10-22 11:36:14,"Terrible application, unclear, lousy, already tired of uploading this and that data, when it's time to make an appointment to come to the immigration office... eh... it turns out the schedule is full. And got information from a friend that even though the quota is full, it can be tried to get a passport through an ""insider"" for a fee of 1.5 - 1.9 million... duhhhh It turns out it doesn't make it easy, it actually makes it more difficult and the most annoying thing is the costs incurred are really beyond expectations. This is no different from the online SIM application... difficult and tiring"
Mudah di gunakan,5,2024-10-22 09:27:47,Easy to use
Bagus banget..,5,2024-10-22 08:03:47,Really good..
"Aplikasi ga berguna..!! udah cape cape bikin akun dan mengikuti arahan, pas pemilihan tanggal gada satupun tanggal yg bisa dipilih, udah coba liat di kantor imigran yg lain sama aja. Dalam keterangan (warna ijo = tersedia, merah= penuh, putih= kuota belum terbuka, Oren= tanggal terpilih) sedangkan di kolomnya cuma ada warna biru, putih, merah. Saya pilih warna biru tapi tetep aja gabisa apalagi warna yg lain 👎",1,2024-10-22 07:52:32,"Useless application..!! I've been tired of creating an account and following the instructions, when selecting the date there is not a single date that can be selected, I've tried looking at other immigration offices and it's the same. In the description (green = available, red = full, white = quota not yet open, Orange = selected date) while in the column there are only blue, white, red. I chose blue but it still doesn't work, let alone other colors 👎"
"Aplikasinya berjalan baik, tapi seharusnya ada form untuk pembatalan dan refund, terutama kalau ada keperluan mendadak dan tidak bisa hadir. Sehingga uang yang sudah dibayarkan tidak hangus.",1,2024-10-22 04:33:19,"The app works well, but there should be a form for cancellation and refund, especially if there is an emergency and cannot attend. So that the money that has been paid is not forfeited."
"Ga dapet dapet kode billing. Tiba-tiba permohonannya otomatis kadaluarsa. Buat permohonan ulang, NIK sedang menunggu pembayaran. Di aplikasi ga ada menu Help. Chat di live chat yg di web, ga ada respon. Wa customer service pun ga ada tanggapannya.",1,2024-10-22 03:06:35,"I didn't get the billing code. Suddenly the application automatically expired. Make a re-application, NIK is waiting for payment. There is no Help menu in the application. Chat on the live chat on the web, no response. There is no response to WA customer service either."
APLIKASI LAKNAT,1,2024-10-22 02:31:06,CURSE APPLICATION
Bukan mempermudah tapi mempersulit. Tidak ada wadah utk menanyakan sesuatu yg jd masalah Akhirx tdk berfungsi dan tdk berguna.. Apalg utk org tua yg gaptek dan tdk punya hp .,1,2024-10-22 00:50:36,"Not making it easier but making it more difficult. There is no place to ask something that becomes a problem. In the end, it doesn't work and is useless. Especially for old people who are not tech-savvy and don't have a cellphone."
"masa penuh semua, mau milih lokasi loading terus",2,2024-10-21 23:20:39,"full time all, want to choose the loading location continues"
Ok ini,5,2024-10-21 21:33:06,Okay this.
Cukup membantu,5,2024-10-21 17:45:58,Quite helpful
cara daftar nya sich mudah..tp darrah sini pd tidak tau cara bayar nya..bri link gk paham cara bayar nya..mohon solusi nya dong,1,2024-10-21 11:20:19,The way to register is easy..but Darrah here doesn't know how to pay..I don't understand how to pay for the BRI link..please provide a solution.
Masak semua lokasi kantor imigrasi antriannya full,1,2024-10-21 09:44:59,How come all immigration office locations have full queues?
Ok,5,2024-10-21 06:52:59,Ok
Tidak bisa memilih tanggal untuk jadwal kedatangan,2,2024-10-21 04:54:30,Cannot select date for arrival schedule
Mengecewakan login aja ga bisa mau nya gimana dah,1,2024-10-21 04:36:01,"It's disappointing that I can't even log in, what can I do?"
"Mempermudah pendaftaran bahkan bisa membantu saudara atau teman yg ingin buat paspor namun ini tadi ada kendala pendaftar tidak ditemukan padahal berkas sudah lengkap semua di upload, kenapa ya????",5,2024-10-21 04:00:26,"Making registration easier can even help relatives or friends who want to make a passport, but there was an obstacle where the applicant could not be found even though all the files had been uploaded completely, why is that????"
Lambat,1,2024-10-21 03:28:10,Slow
"Kagak guna bikin aplikasi, buang buang APBN doang. Koruptor koruptor",1,2024-10-21 03:25:39,"It's useless to make an application, just throw away the APBN. Corruptor corruptor"
Aplikasi apaan ini? Susah sekali untuk daftar...niat atw tidak ini pemerintah buat apps?,1,2024-10-21 03:02:46,What is this app? It's so hard to register...does the government intend to make this app?
"Heran kok pas mau login terkeluar muluu, sudah clear cache, redownload sama aja",1,2024-10-21 03:02:15,"I wonder why when I want to log in, it exits, the cache has been cleared, it's the same as redownloading"
Wkwkwkkwkk ketawain aja udahlah,1,2024-10-21 02:33:47,Wkwkwkkwkk just laugh it off
"bikin aplikasi pelayana publik tuh yg serius tuan, baru upload foto ktp mental terus,ganti hp sama aja, ttp ja yg cpet mah lewat ordal lah capeeeeee g guna apk",1,2024-10-20 15:58:11,"make a serious public service application sir, just upload a photo of your ID card and keep doing it, changing your cellphone is the same, but the fastest way is via Ordal, it's tiring, don't use an app"
Aplikasi buruk,1,2024-10-20 13:43:09,Bad app
Knpa yh status nya tertulis menunggu pembayaran padahal aku sudah melakukan transaksi pembayaran nya,3,2024-10-20 13:42:25,Why does the status say waiting for payment even though I have already made the payment transaction?
"Tolong Perbaiki lagi Fungsi Tanggalan untuk Jadwal Pembuatan,Perbaruan/lain nya. Karena Saya tidak bisa Meng klik tanggal yang padahal sudah Kosong jadwal nya. Tapi tidak bisa diproses untuk melanjutkan ke tahap selanjutnya.",1,2024-10-20 12:38:34,"Please fix the Date Function again for Schedule Creation, Updates/others. Because I can't click on a date that is already empty. But it can't be processed to continue to the next stage."
Bagus,5,2024-10-20 09:12:25,Good
aplikasinya keluar sendiri terus. boro2 urusan selesai dengan mudah ada juga jadi emosi,1,2024-10-20 08:33:01,"the application keeps exiting by itself. Forget about getting things done easily, some people get emotional"
"Kok apk nya nggak bsa login. Udah masukin email sma pass tiba"" Keluar sendiri",1,2024-10-20 06:43:59,Why can't the app log in? I've entered my email and password but it just logs out by itself
"Bikin akun, minta OTP, OTP nya gak masuk2. pas mau daftar lagi, Nomor katanya udah kedaftar. Pas coba login, Katanya tidak valid. Mau ""Lupa kata Sandi"", email katanya belum terdaftar. Yes..basically its a useless app.",1,2024-10-20 04:11:02,"Create an account, ask for OTP, the OTP doesn't come in. When I want to register again, the number is said to be registered. When I try to log in, it says it's invalid. It says ""Forgot Password"", the email says it's not registered. Yes..basically its a useless app."
Ok,5,2024-10-20 01:39:16,Ok
Aplikasi yg cuma formalitas...sama sekali gak berfungsi...ditanggal kedatangan....semua full pokoknya nyebelin banget....buat apa bikin beginian kl sekiranya gak bisa dipake👎👎,1,2024-10-19 16:06:24,"An application that is just a formality...doesn't work at all...on the arrival date....everything is full, it's really annoying....why make something like this if it can't be used👎👎"
hanya mempersulit warga buat dokumen,1,2024-10-19 12:40:14,only makes it difficult for citizens to make documents
Best App,5,2024-10-19 12:24:15,Best App
"Pendaftaran paspor pertama lancar, cepat dan mudah, sampai pengambilan paspor di Mal Pelayanan Publik, tidak harus ke kantor imigrasi langsung, tapi untuk pendaftaran jamaah yang ke 2 kali selalu keluar sendiri, mohon diperbaiki. Terima kasih",4,2024-10-19 11:27:35,"The first passport registration was smooth, fast and easy, until the passport was collected at the Public Service Mall, no need to go to the immigration office directly, but for the second time the congregation registration always came out by itself, please fix it. Thank you"
Ok,5,2024-10-19 09:28:58,Ok
kenapa ga bisa milih tanggal kedatangan? aneh lahhh,2,2024-10-19 06:10:18,why can't I choose the arrival date? that's weird
"Sangat mudah,dan hemat waktu..",5,2024-10-19 03:33:48,"Very easy, and saves time.."
Gak bisa upload dokumen.. selalu close setiap upload..,2,2024-10-19 02:37:13,Can't upload documents.. always closes every time I upload..
sangat membantu dan prosesnya mudah,5,2024-10-18 22:21:25,very helpful and easy process
"Aplikasi pling anjg, 1 x udh gagal buat paspor ggara apl nya maintenance gajelas ga bisa di buka duit hangus 350rb, trs skrg mau buat lagi yg elektronik 650rb pas mau bayar ga bisa dan udh g tau gmn lgi cara bayar nya dan batas tenggat waktu pembayaran nya yg sedikit kali, seharusnya batas pembayaran nya 1x 24 jam, dan seharusnya duit yg hangus karena aplikasi maintenance bisa di kembalikan karna bukan kesalahan dri saya melainkan dri apl buatan kalian sendiri, ribet bgt repot bknnya mempermudah",1,2024-10-18 14:42:13,"The most trusted application, failed to make a passport once because the application was under unclear maintenance and could not be opened, 350 thousand rupiah was lost, then now I want to make another electronic one for 650 thousand, when I want to pay it, I can't and I don't know how to pay anymore and the payment deadline is very short, the payment deadline should be 1x 24 hours, and the money that was lost due to application maintenance should be able to be returned because it is not my fault but the application you made yourself, it's really complicated, not making it easier"
