Review,Rating,Date
"Pilih lokasi saja tidak bisa, aplikasi tidak layak pakai",1,2024-10-24 15:24:03
Sy punya ga bisa kebuka..udh isi data tau tau keluar sendiri dr aplikasi..,1,2024-10-24 11:55:17
"ga ada pusat bantuan, suru ke admin buat lanjutin tp ga ada pilihan pusat bantuan buat terhubung ke admin, udah bayar tp ga uptodate Pdhal da sisa waktu pembayaran ini, gmna dong.",2,2024-10-24 06:26:01
app ny.. tolong di perbaiki lg. soal ny sering keluar atau data tidak valit padahal ud bener. buat teman2 kalo pas milih tagal kalo ad kotak warna hijau yg ad di tangal baru kita bisa pilih tangal ny. soal ny pendaftaran di buka cuma 1 bulan sekali itupun terbatas.. ok semoga membantu.,2,2024-10-24 06:23:13
Kode verifikasi akun nya sangat lambat di kirim kan membosan kan untuk berurusan dengan negara sendiri,1,2024-10-24 05:53:59
The best and succes M Paspor,5,2024-10-24 05:10:27
"Aplikasi sering erorr selalu muncul tulisan nomor otp tidak valid, macam2lah , pengguna tidak ditemukan dan lain2. Kek kon-",1,2024-10-24 04:00:11
Aplikasi ga bisa login,1,2024-10-24 03:49:14
Setelah ada pembaharuan kok login nya makin susah,1,2024-10-24 03:15:41
"CSnya gak ada ramahnya sama sekali, bagusan chat sama bot, orang tanya kejelasan malah gak dikasih tau.",1,2024-10-24 03:04:42
"Mana ini tanggal nya? Sdh upload segala macam, ini itu tp tdk bs. Tolong diperbaiki sistemnya",2,2024-10-24 02:54:45
Parah ini kuotanya masa udah pada 0... Masa sebuln full sudah penuh... Jadi menyulitkn kalo begini 😡😡😡😡,1,2024-10-24 00:09:42
"Aplikasinya selalu keluar saat sudah email dan password dimasukkan, sudah diperbaharui tetap gak ngaruh",1,2024-10-23 14:26:44
Berguna,5,2024-10-23 13:19:36
"Banyak Bug, lelah isi dan upload data tiba2 ulang dr awal...dan itu berulang kali",1,2024-10-23 11:25:01
Baik,5,2024-10-23 10:30:04
apa nie apk tak bisa dgunakan,1,2024-10-23 09:51:53
Ww see w yg,3,2024-10-23 09:31:32
Ga bisa pilih tanggal pendaftaran. Hadehhh,1,2024-10-23 05:28:55
"Kesel banget gua sama apk ini, tibanya dikantor ga dipisahkan yang passport biasa dengan elektronik. Sudah itu banyak kali tanya ini itu ujung2 nya passport di tolak uang ga dibalikin, semoga balasan yang kau dapatkan setelah ngambil uang orang tapi ga dibalikin kalo ditolak😡",1,2024-10-23 05:25:57
"Gak bisa kepakek aplikasinya, mau log in tiba-tiba keluar sendiri dari aplikasi, gimana ini nasibnya orang yang mau buat passport",1,2024-10-23 04:41:49
"Setiap mau upload foto / gambar dokumen selalu force close, sehingga harus mengulang pengisian data di form dari awal.. mohon di perbaiki",1,2024-10-23 01:21:55
Kenapa force closed terus ketika mau upload ktp???,1,2024-10-23 01:19:30
aplikasi yg sangat bermanfaat,5,2024-10-22 20:47:54
Agak ribet,5,2024-10-22 14:18:17
Mantapp,5,2024-10-22 13:45:16
"kalian nyuruh daftar online katanya biar mudah nyata terbalik , 3 bulan kedepan gabisa klik utk wawancara , benerin dulu sistem nya",1,2024-10-22 13:28:38
Aplikasi gak bisa d gunakan,1,2024-10-22 13:08:54
"Pertama kali pakai lancar, login berikutnya ngelag di fitur keamanan. Sampai sekarang ga bisa login lagi, mhn diperhatikan aplikasinya agar berjln lancar.",2,2024-10-22 12:34:39
"Alhamdulillah pelayanannya gercep, sehingga msh bisa masuk kerja lagi.mks",5,2024-10-22 12:06:10
